id,time,F_x
1,1,0.104895105
1,2,0.122377622
1,3,0.167832168
1,4,0.146853147
1,5,0.08041958
1,6,0.01048951
1,7,0.146853147
1,8,0.223776224
1,9,0.22027972
1,10,0.293706294
1,11,0.377622378
1,12,0.493006993
1,13,0.583916084
1,14,0.587412587
1,15,0.632867133
1,16,0.804195804
1,17,0.881118881
1,18,0.881118881
1,19,0.807692308
1,20,0.70979021
1,21,0.695804196
1,22,0.692307692
1,23,0.671328671
1,24,0.940559441
1,25,0.968531469
1,26,0.905594406
1,27,0.905594406
1,28,0.818181818
1,29,0.828671329
1,30,0.835664336
1,31,0.744755245
1,32,0.835664336
1,33,0.811188811
1,34,0.727272727
1,35,0.699300699
1,36,0.657342657
1,37,0.583916084
1,38,0.713286713
1,39,0.727272727
1,40,0.653846154
1,41,0.664335664
1,42,0.723776224
1,43,0.695804196
1,44,0.618881119
1,45,0.552447552
1,46,0.48951049
1,47,0.545454545
1,48,0.566433566
1,49,0.524475524
1,50,0.503496503
1,51,0.559440559
1,52,0.559440559
1,53,0.503496503
1,54,0.531468531
1,55,0.583916084
1,56,0.517482517
1,57,0.493006993
1,58,0.576923077
1,59,0.513986014
1,60,0.458041958
2,1,0
2,2,0.038167939
2,3,0.095419847
2,4,0.213740458
2,5,0.305343511
2,6,0.270992366
2,7,0.328244275
2,8,0.328244275
2,9,0.370229008
2,10,0.511450382
2,11,0.683206107
2,12,0.805343511
2,13,0.812977099
2,14,0.801526718
2,15,0.820610687
2,16,1
2,17,0.935114504
2,18,0.797709924
2,19,0.709923664
2,20,0.732824427
2,21,0.84351145
2,22,0.797709924
2,23,0.72519084
2,24,0.709923664
2,25,0.896946565
2,26,0.927480916
2,27,0.839694656
2,28,0.908396947
2,29,0.816793893
2,30,0.797709924
2,31,0.740458015
2,32,0.70610687
2,33,0.625954198
2,34,0.58778626
2,35,0.595419847
2,36,0.797709924
2,37,0.782442748
2,38,0.709923664
2,39,0.648854962
2,40,0.645038168
2,41,0.595419847
2,42,0.70610687
2,43,0.748091603
2,44,0.721374046
2,45,0.740458015
2,46,0.660305344
2,47,0.541984733
2,48,0.572519084
2,49,0.553435115
2,50,0.545801527
2,51,0.522900763
2,52,0.480916031
2,53,0.461832061
2,54,0.461832061
2,55,0.561068702
2,56,0.675572519
2,57,0.675572519
2,58,0.625954198
2,59,0.553435115
2,60,0.496183206
3,1,0
3,2,0.141100945
3,3,0.167072078
3,4,0.236719663
3,5,0.095443364
3,6,0.114805232
3,7,0.191300372
3,8,0.334582932
3,9,0.201521063
3,10,0.070605301
3,11,0.272363248
3,12,0.411640245
3,13,0.536679151
3,14,0.474255827
3,15,0.615601146
3,16,0.742359351
3,17,1
3,18,0.644442791
3,19,0.720001765
3,20,0.593210425
3,21,0.749746819
3,22,0.671006757
3,23,0.679330065
3,24,0.826284705
3,25,0.967569705
3,26,0.97685397
3,27,0.730360284
3,28,0.631143068
3,29,0.745717905
3,30,0.66956961
3,31,0.792263367
3,32,0.714547028
3,33,0.603396585
3,34,0.655303566
3,35,0.540089078
3,36,0.434200746
3,37,0.557259233
3,38,0.575374214
3,39,0.686414282
3,40,0.70021947
3,41,0.585439774
3,42,0.577199231
3,43,0.65280712
3,44,0.638188799
3,45,0.53061512
3,46,0.42883985
3,47,0.476217789
3,48,0.401574329
3,49,0.451184735
3,50,0.44138663
3,51,0.555202518
3,52,0.572921612
3,53,0.466088428
3,54,0.391391287
3,55,0.3797626
3,56,0.466757339
3,57,0.415272698
3,58,0.526426315
3,59,0.226109403
3,60,0.463363839
4,1,0.00508214
4,2,0
4,3,0.018992355
4,4,0.217809853
4,5,0.258794126
4,6,0.133277339
4,7,0.256679699
4,8,0.15569009
4,9,0.208762968
4,10,0.580602497
4,11,0.339789481
4,12,0.514108313
4,13,0.988554584
4,14,0.669680504
4,15,0.722509295
4,16,1
4,17,0.529042775
4,18,0.867040301
4,19,0.704809148
4,20,0.475998237
4,21,0.660777345
4,22,0.707604981
4,23,0.491128005
4,24,0.505102664
4,25,0.675142763
4,26,0.74688702
4,27,0.611393911
4,28,0.823672714
4,29,0.682622143
4,30,0.82134923
4,31,0.516819136
4,32,0.690544298
4,33,0.570579181
4,34,0.549194665
4,35,0.472474943
4,36,0.645027169
4,37,0.481880282
4,38,0.718086386
4,39,0.506367474
4,40,0.570656946
4,41,0.567398695
4,42,0.54762303
4,43,0.632399378
4,44,0.538723651
4,45,0.745000231
4,46,0.432796638
4,47,0.582777818
4,48,0.580785242
4,49,0.612515308
4,50,0.472674341
4,51,0.581768058
4,52,0.378802727
4,53,0.351866505
4,54,0.322829623
4,55,0.504701489
4,56,0.502804152
4,57,0.544233881
4,58,0.479804523
4,59,0.423193679
4,60,0.16401153
5,1,0.194892789
5,2,0
5,3,0.32256816
5,4,0.365696298
5,5,0.112430474
5,6,0.24853477
5,7,0.321157091
5,8,0.32084548
5,9,0.574931205
5,10,0.48972755
5,11,0.432034693
5,12,0.640344334
5,13,0.705201518
5,14,0.883652008
5,15,0.39269669
5,16,0.897287677
5,17,0.8610411
5,18,0.652993393
5,19,0.462543719
5,20,0.533534149
5,21,0.663861465
5,22,0.75006057
5,23,0.779873876
5,24,0.807578881
5,25,0.845105159
5,26,0.969331171
5,27,0.998874463
5,28,0.995655529
5,29,0.432254129
5,30,0.564566465
5,31,0.769611035
5,32,0.982418874
5,33,0.604817503
5,34,0.653141691
5,35,0.602910225
5,36,0.639568026
5,37,0.518235801
5,38,0.828609947
5,39,0.428392931
5,40,1
5,41,0.418684302
5,42,0.88189506
5,43,0.88495459
5,44,0.593207428
5,45,0.601059719
5,46,0.449154055
5,47,0.696806971
5,48,0.635614665
5,49,0.5877804
5,50,0.674925561
5,51,0.561986394
5,52,0.778180811
5,53,0.529542328
5,54,0.670194914
5,55,0.608017859
5,56,0.62933252
5,57,0.555049515
5,58,0.689242229
5,59,0.472071367
5,60,0.692489005
6,1,0.058369738
6,2,0.186668673
6,3,0
6,4,0.464603364
6,5,0.445734208
6,6,0.238827536
6,7,0.180544454
6,8,0.263148589
6,9,0.415159838
6,10,0.519536278
6,11,0.681649323
6,12,0.536635542
6,13,0.653000603
6,14,0.606171164
6,15,0.53414258
6,16,0.934539967
6,17,0.796030868
6,18,0.571469746
6,19,0.504159077
6,20,0.586973927
6,21,0.533501661
6,22,0.467668023
6,23,0.574213479
6,24,0.504994606
6,25,0.644594168
6,26,0.807758706
6,27,0.995221587
6,28,0.550762716
6,29,1
6,30,0.660267104
6,31,0.472579175
6,32,0.692937499
6,33,0.591314207
6,34,0.400807023
6,35,0.523592399
6,36,0.366622035
6,37,0.147460304
6,38,0.632535427
6,39,0.342285248
6,40,0.647809762
6,41,0.607688472
6,42,0.760199247
6,43,0.721525411
6,44,0.725908031
6,45,0.54601174
6,46,0.947465893
6,47,0.512416015
6,48,0.556156722
6,49,0.703488936
6,50,0.286952136
6,51,0.9768468
6,52,0.21816299
6,53,0.65470986
6,54,0.639206535
6,55,0.36186299
6,56,0.197838478
6,57,0.389053403
6,58,0.549957532
6,59,0.554489592
6,60,0.489690485
7,1,0.040232393
7,2,0.129142308
7,3,0.514805915
7,4,0.238539035
7,5,0.072554093
7,6,0.067289874
7,7,0.338929952
7,8,0.146757137
7,9,0.371069989
7,10,0.094330524
7,11,0.165252911
7,12,0.217510204
7,13,0.0439151
7,14,0.780270624
7,15,0.772886162
7,16,0.437342948
7,17,0.788868356
7,18,0.99599402
7,19,0.397924776
7,20,0.308998208
7,21,0.433214148
7,22,0.75760897
7,23,0.580739108
7,24,0.656517157
7,25,1
7,26,0.396861939
7,27,0.408951939
7,28,0.618631669
7,29,0.712885351
7,30,0.703301832
7,31,0.338194638
7,32,0.525025364
7,33,0.54701182
7,34,0.597171018
7,35,0.568886462
7,36,0.555455925
7,37,0.285828799
7,38,0.675557291
7,39,0.801670629
7,40,0.456018196
7,41,0.429134429
7,42,0.66960147
7,43,0.336174969
7,44,0.876221649
7,45,0.257031865
7,46,0.395045714
7,47,0.253650325
7,48,0.341672675
7,49,0.379484959
7,50,0.624055474
7,51,0.345913305
7,52,0.430590444
7,53,0.364368939
7,54,0.68484786
7,55,0
7,56,0.533810072
7,57,0.409554126
7,58,0.120989613
7,59,0.413200179
7,60,0.352908052
8,1,0.137293042
8,2,0.278055109
8,3,0.198271674
8,4,0.397731084
8,5,0.662363928
8,6,0.433234407
8,7,0.300332697
8,8,0.179942069
8,9,0.731489883
8,10,0.344196756
8,11,0.762924922
8,12,0.793624409
8,13,0.755706856
8,14,0.681077731
8,15,0.4640311
8,16,0.891682589
8,17,0.634936802
8,18,0.591299437
8,19,0.530260488
8,20,0.445402109
8,21,0.326809014
8,22,0.487653454
8,23,0.83297164
8,24,1
8,25,0.632196844
8,26,0.814162158
8,27,0.713712796
8,28,0.244809814
8,29,0.642016081
8,30,0.370977589
8,31,0.184406603
8,32,0.374068271
8,33,0.869305748
8,34,0.489995766
8,35,0.234380231
8,36,0.756018784
8,37,0.693922313
8,38,0.466361804
8,39,0.630442603
8,40,0.437246667
8,41,0.189738655
8,42,0.245812116
8,43,0.527144513
8,44,0.322345425
8,45,0.432780338
8,46,0.522151308
8,47,0.475960175
8,48,0.114505261
8,49,0.519527385
8,50,0.425864585
8,51,0.574085938
8,52,0.594352703
8,53,0.117674074
8,54,0.535428122
8,55,0.489597999
8,56,0.815697295
8,57,0.561622692
8,58,0.324719315
8,59,0
8,60,0.198216787
9,1,0.150469589
9,2,0.382865589
9,3,0.149839544
9,4,0.13367897
9,5,0.361432188
9,6,0.607701458
9,7,0.222749666
9,8,0.126354539
9,9,0
9,10,0.276445825
9,11,0.571776635
9,12,0.490643212
9,13,0.569212106
9,14,0.701652127
9,15,0.883633079
9,16,0.249598484
9,17,0.603599734
